voice,language,language_code,gender,service
vi-VN-Standard-C,Vietnamese,vi-VN,FEMALE,google
vi-VN-Standard-D,Vietnamese,vi-VN,MALE,google
vi-VN-Wavenet-C,Vietnamese,vi-VN,FEMALE,google
vi-VN-Wavenet-D,Vietnamese,vi-VN,MALE,google
vi-VN-Wavenet-A,Vietnamese,vi-VN,FEMALE,google
vi-VN-Wavenet-B,Vietnamese,vi-VN,MALE,google
yue-HK-Standard-A,NA,yue-HK,FEMALE,google
yue-HK-Standard-B,NA,yue-HK,MALE,google
yue-HK-Standard-C,NA,yue-HK,FEMALE,google
yue-HK-Standard-D,NA,yue-HK,MALE,google
